Date, Time, Reading
2020-04-25,11:35:28.984537,48.312
2020-04-25,11:35:34.004948,47.774
2020-04-25,11:35:39.012021,47.774
2020-04-25,11:35:44.017413,47.774
2020-04-25,11:35:49.024467,47.774
2020-04-25,11:35:54.031387,47.236
2020-04-25,11:35:59.038427,47.774
2020-04-25,11:36:04.045390,47.774
2020-04-25,11:36:09.052547,47.236
2020-04-25,11:36:14.059497,48.312
2020-04-25,11:36:19.066529,47.774
